SiteID;SiteName;SiteCode;FullSiteCode;Latitude;Longitude;Elevation;State;County;Comments;Precipitation.start;Precipitation.end;Tmax.start;Tmax.end;Tmin.start;Tmin.end;nome_rete;annoInizio;annoFine;tipo
39;Consuma;TOS01001041;OD:TOS01001041;43,784466;11,585201;908;Italy;Toscana;Quota ricavata da dem;1940;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
40;S. Brigida all'Opaco;TOS01001059;OD:TOS01001059;43,854377;11,398380;463;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
41;Firenze Genio Civile;TOS01001095;OD:TOS01001095;43,779406;11,258303;51;Italy;Toscana;Quota ricavata da dem;1930;2015;2014;2015;2014;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
52;Vernio;TOS01001171;OD:TOS01001171;44,047470;11,156912;316;Italy;Toscana;Quota ricavata da dem;1996;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
55;Prato Universita';TOS01001205;OD:TOS01001205;43,885556;11,099213;64;Italy;Toscana;Quota ricavata da dem;2000;2015;1998;2015;1998;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
64;Radda in Chianti;TOS01001284;OD:TOS01001284;43,486026;11,379111;464;Italy;Toscana;Quota ricavata da dem;2000;2015;NA;NA;NA;NA;NESSUNA INFORMAZIONE RETE;1961;2020;site2
72;S. Miniato (Cimitero);TOS01001491;OD:TOS01001491;43,684031;10,831479;42;Italy;Toscana;Quota ricavata da dem;2000;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1970;2020;site2
76;Castelmartini;TOS01001629;OD:TOS01001629;43,817839;10,829129;22;Italy;Toscana;Quota ricavata da dem;2000;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
78;Volterra;TOS01001664;OD:TOS01001664;43,408995;10,862233;372;Italy;Toscana;Quota ricavata da dem;1996;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1981;2019;site2
79;La Madonnina;TOS01001679;OD:TOS01001679;43,455625;10,909972;271;Italy;Toscana;Quota ricavata da dem;2000;2015;2000;2015;2000;2015;NESSUNA INFORMAZIONE RETE;1973;2020;site2
91;Miemo;TOS01002011;OD:TOS01002011;43,410186;10,670702;440;Italy;Toscana;Quota ricavata da dem;2006;2015;2008;2015;2008;2015;NESSUNA INFORMAZIONE RETE;1961;2020;site2
